ID,target,text,stance
212,Women empowerment, خلاص حاول تسكت وتستر على غبائك وعقدة النساء اللي عندك لان محمد بن سلمان دعسكم وخلص انت واشكالك مالكم اي اعتبار حاولوا تندفون طالما ما انتم قادرين تتقبلون السعوديه الجديده و(تمكين المرأه)😉,Favor
220,Women empowerment,عصر تمكين المرأه نهضة ورؤية هذا الوطن بيد الجميع رجال ونساء ❤️ #المراة_السعودية_قاضية ,Favor
222,Women empowerment,MENTION الهدف من تمكين المرأه هو لكي تكون جزء من صناعة القرار من خلال مناصب استراتيجية وقيادية .,Favor
223,Women empowerment,#المراه_السعوديه_قاضيه اييييوا هذا عصر تمكين المرأه الحمدلله يارب 😭❤️❤️❤️❤️❤️❤️❤️❤️!!,Favor
224,Women empowerment,    ماقلت تمكين المرأة يضايقني قلت تمكينها بما لا يرضى الله بل لإرضاء الغرب ليقولوا السعودية ليست كما في الإعلام,None
225,Women empowerment, ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم  و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Against
227,Women empowerment,"رجل شرطة يسجل مخالفة لإمراة بتهمة التعري والتعرض غير اللائق على شاطيء روكاواي بنيويورك سنة ١٩٤٦ .  هذا دليل إن الغرب كان على الفطرة السليمة حتى خرجت ثعابين""الفيمينيست""وحيات تمكين المرأة إلى الوجود وبدعم الحكومات حتى تعرت المرأة تمام عدا عن فتلة رفيعة تحتفي في طيات جسمها ..  يتبع) URL",Against
232,Women empowerment,عميدة كلية عايزة تعلق بانرات تتكلم عن تمكين المرأة وحقوق المرأة ... عميدة كلية  هو اكتر من كدا ايه تمكين للحريم معلش؟!,Against
233,Women empowerment,قبل عملها فى مجال الفضاء  عملت سارة معلمة يوجا ومدربة كروس فيت  ومارست فنون القتال المختلطة لبعض الوقت. في عام 2016   سافرت الى عدة بلاد فى إفريقيا للعمل التطوعي في مدارس ومنظمات مختلفة   بما في ذلك مركز تمكين المرأة في أوغندا.,Favor
237,Women empowerment,- الطلاق الشفوي ولازم امام قاضي - تمكين المرأة - و قهر الرجال بزياده البطالة و تضييق الحال عليهم بغلاء و غلق ابواب الرزق كوقف اعمال البناء! - فقر و معاناة اقتصادية ترفع نسب الطلاق  - قانون احوال شخصية جديد  #السيسي يسعى لتفكيك عروى المجتمع المصري و نواتها,Against
246,Women empowerment,#اليوم_العالمي_للمرأة متنة للنساء المثابرات في تمكين مجتمعاتهنّ... أنتنّ جميعاً رمز القوة والكرم في يوم المرأة العالمي🤍.,Favor
250,Women empowerment, تمكين المرأة يكون بوظايف تليق فيها موب تحطها كاشير,Favor
252,Women empowerment,MENTION ياخي الله يقلع الي علمكم عن تمكين المرأه انتم مكنوا الشباب العاطل مئات الشباب عندهم شهادت طيران وعاطلين عن العمل,Against
255,Women empowerment,- فالبرنانج الضعيف ( وعد )   امس كان الموضوع تدوير النفايات  واليوم الموضوع تمكين المرأه ..  ترتيب الاولويات وتناسب الحلقات يحسب لهم رغم ضعف البرنامج ..,Favor
258,Women empowerment, بصراحة انا مع تمكين المرأة قلباً وقالباً ، خصوصا في الوظائف التي يعتقد الرجل انها حكراً عليه ويفترض  أن المرأة لا تستطيع القيام بها، أن مصطلح تمكين المرأة يعني مساعدتها في بلوغ أهدافها وطموحاتها الوظيفية وخصوصا إن كانت زوجة ،ربة أسرة، وأحيانا ,Favor
271,Women empowerment,  *يتبع ٢ الجمعية واجبها تمكين المرأة(حتى المعاقات) لكن من ينقذ ويمكن المعاقات ماديا بائعات الشوارع والمديونات الإنجاز أن تؤهل وتمكن هؤلاء الفقيرات بمشاريع قابلة للإستمراية  لكن الإستمرارية شرطها إجتهاد وحضانة من الجمعية لهن لسنين حتى,None
272,Women empowerment," الواضح للجميع أن السلب كان لحقوق الزوج فقط.  من باب ""تمكين المرأة"".  فالسلب كان لطرف مقابل تسليمها الآخر  أنت تضع السارق والمسروق في كفة واحدة.",Against
279,Women empowerment, القمه والقوه 😂 لا جد والله العبث وعدم الرضى والبحث المستمر والصمود والمواجهه  شخصيتك مثابره والرياضيات تتيح لصاحبها المزيد من الحلول في حال يواجه مشكله  اتوقع اشوفك يوم وزيرة للتعليم بعد برامج تمكين المرأة مو بعيد اشوفك وزيره 🤗😍💐,Favor
285,Women empowerment,  اي احاديث تمكين للمرأه تتخبى ومايستدلون فيها اقولك يخافون من المرأه انها تجيب لهم عار وكلام بين الجماعه,Favor
308,Women empowerment,  الجماعات المتطرفة هدفها زعزعة امن الوطن ومن ضمنها تمكين المرأة حريتها ..  *غدا ستعلمون كلمة صاحب السمو الملكي الأمير نايف بن عبدالعزيز آل سعود رحمه الله  (هم لايريدون حريتها هم يريدون حرية الوصول إليها),Against
314,Women empowerment, كذلك نحتاج شريطيّات أبل و بقر و دجاج   و في حراج السيارات و حراج بن قاسم في اطار خطة #تمكين_المرأة . و أطالب بإسمي وبإسم كل الرجال تعديل قوانين المجتمع الجائر في حقنا وذلك بتسليم عهدة القوامة إلى النساء وعليهن دفع مهور الازواج والإنفاق عليه,Against
324,Women empowerment,تمكين المرأة في عهد مبس 😂 URL URL,None
331,Women empowerment,اتمنى ان لاتهدم هذه الحركات #النسوية المتطرفة الموجة الحكومية في تمكين المراة والاستفادة من نصف المجتمع #انقذوا_رهف_اليامي,Against
332,Women empowerment, يجب تمكين المرأة من العمل، لدينا بنات كثير يعلن عائلتهن والمرأة اكثر جدية في العمل. يجب ان نمكنهن في جميع شتى القطاعات واحلالهن في المهن المشغولة بغير السعوديين.,Favor
334,Women empowerment,ومن #مساواة إلى تمكين إلى #حقوق ثم تنوير.. المقصد ليس حق المرأة وإنما كيف تفكيك #المرأة من عفتها!!,Against
335,Women empowerment,مَا أَعَزَّنا اللهُ -نحن نساء المملكة العربية السعودية- بالملك/سلمان بن عبد العزيز آل سعود  وسموّ وليّ العهد الأمير/محمد بن سلمان آل سعود -حفظهما الله- حتّى نَتَبَسَّمَ للانتِهَاكات! #تمكين_المرأة  #رؤية_السعودية_2030  #وزارة_العدل  #النيابة_العامة  #حماية_المرأة_من_الأذى URL,Favor
343,Women empowerment,أنا سعيدة جدًا على انجازات المملكة العربية السعودية تحديدًا نقلتها السريعة في تمكين المرأة بشتى المجالات. السؤال هل ستقتدي أخوات المملكة بها؟ على ماتحققه اليوم من نجاح في جميع الأصعدة ,Favor
363,Women empowerment,  ياليت المرأة تعتبر خديجه رضي الله عنها تمكين للمرأة فبالرغم من ثرائها لم تخالط الرجال وقامت بعملهاكأمرأه في بيتها وانجبت وربت جيل كامل اربعة بنات قمم في التربيه فقد فرغت نفسها لتخرج قدوات للمجتمع على الرغم من زواجها المتأخرفي عمر ,Against
368,Women empowerment,   قال تمكين المرأه ما قال دعارة المرأه حدد توجهك وين انت رايح !!!,Against
378,Women empowerment, ومافي امراة تبربر ع دخل الرجال وفلوسة في زمن تمكين المرأة الا عاجزة وارفلة,Against
390,Women empowerment, الاستقلالية الماليه +التشريعات الجديدة بخصوص تمكين المرأة وإعطائها حقوقها بحد زعمهم+طبعا عقول المجتمعات السخيفه بتأثرهم بما يعيشونه المشاهير  الناس يعيشون عيشه ماهي عيشتهم  اللي على قده اصبح ياكل من مطعم بلحاله وفاتورته ٧٠ ريال لانه تأثر بالمشهو,Favor
394,Women empowerment, هى لسة المرأة محتاجه تمكين !!!!🤔,Against
406,Women empowerment, تمكين المرأة ورسمها كعائل رئيسي ونشر ثقافة المثليين حاسسها خطة لتحديد النسل على المدى البعيد 😂,Against
408,Women empowerment,  السؤال هنا هو ايه المقصود من تمكين المرأة عشان انا حاسس ان دي كلمه حق يراد بيها باطل وحاسس انها مسمار ف نعش الأسر المسلمه,Against
409,Women empowerment, ياجاهل وياغبي واضح بس تبي تبربر على دلاخة كعادتك ، المرأه في عهد محمد بن سلمان مكنت خير تمكين في جميع المجالات حتى اصبحت المرأه في المملكة شريكا فعال لدفع عجلة الاقتصاد والتنمية  ،اما انتم متطرفين  ترفضون المساواة بين الرجل والمرأه في العمل,Favor
415,Women empowerment, اتفق معك جداً اخوي تركي بكل نقطه تمكين المرأة لايعني بسلب كفاءه  عن كفاءة افضل منها تمكين المراة يعني بتوظيفها بوظيفه تناسب طموحاتها ودراستها لا على حساب فقط كونها انثى وهذا توجه مؤسساتي ومجتمعي غير صحي في سوق العمل,Favor
423,Women empowerment,  الشباب كانو يعانون من زمان منبوذين من المجتمع ممنوع دخول مول ممنوع دخول مطعم لازم كرت عايله ولايقدر يتزوج مهور غاليه فساد فالتوظيف شركات مكدسه ومليان عماله منبوذين لاتجاريا لا عقاريا لا إسكان لا خدمات كلها للمتزوجين بعد كذا تمكين ا,None
425,Women empowerment,تمكين المرأه في عهد الملك سلمان الحزم والعزم تطور غير مسبوق وثقه حازتها بكل جداره  👍🇸🇦 ,Favor
429,Women empowerment,قانون الولاية بحق الإجهاض عقبات على المرأة.الحكم المسرب سيتراجع عن الخصوصية العامة التي ادعت المحكمة في رو وجودها. وحسب رأيي سيصحح خطأ أدى الى تمكين اليسار المتطرف من الطعن في كثير من القوانين خصوصا ما يتعلق بالاخلاق بحجة الخصوصية.,None
441,Women empowerment, والشباب عادي عطاله اهم شي تمكين المرأة,Against
442,Women empowerment,أمةً انجازها حجاب فاشلة  أمة انجازها تمكين المرأة ناجحة URL,Against
445,Women empowerment, قرار صائب في تمكين المرأة,Favor
446,Women empowerment, خبر جميل إن صح في تمكين المرأة ومساواتها بالرجل..  ونبذ سنوات ومعتقدات الجاهلية التي سجنت المرأة في البيت.,Favor
459,Women empowerment,في سعينا الحثيث في  وإيماننا الكبير في تمكين المرأة في معظم مناحي الحياة  ومن أجل التعلم والاستكشاف والتطوير المستمر  المرأة في #تريم #حضرموت تدخل  عالم صيانة أجهزة الجوالات.. شكرا لكل شركائنا  و  ,Favor
468,Women empowerment,المشكلة تكمن في فجوة فكر مابين الجيل القديم الذي تربى على الأخلاق الحميدة وتعاليم الدين وجيل منفتح لدرجة أن الحرام في ديننا أصبح مرغوب من باب تمكين المرأة والذي تم فهمه بشكل خطأ من بعض الفئات النسوية المتمردة على الدين والعادات  #انقذوا_رهف_اليامي,Against
472,Women empowerment, للاسف الاسر تتفكك من الآن بسبب فرض مفاهيم تمكين المرأة التي جعلتها  تتمرد على رسالتها في الحياة.,Against
476,Women empowerment, قدرة المرأة على العطاء لا تقل عن الرجال في جميع المجالات وهذا ما تؤكده وتحرص عليه حكومتنا الرشيدة من تمكين للمرأة السعودية التي تحقق نجاحات تلو الأخرى في مختلف الأعمال  #تمكين_المرأة,Favor
478,Women empowerment,يعيش عصر تمكين المرآه✌️ ,Favor
481,Women empowerment, السبب طول الفترة التي تعرضت المرأة للظلم والتهميش٣٠ سنة فأصبحت ثقافة سائدة والتسارع في ال ٥ سنوات الأخيرة التي حصلت فيها المرأة من تمكين وحقوق فلم يستطيعوا مواكبة هذا التغير واصبحوا في حالة صمت او تنظير خاصة عند الإرتباط في علاقة زواج وعند تعلي,Favor
484,Women empowerment, نريد تمكين وإستقلال للمرأة ؛ لكن بنفس الوقت لا نريد أن تأخذ مكان الرجل! فيجلس الرجل وتعمل المرأة؛ فلا الرجل عمل وإستقر وبنى بيت ولا المرأة إكتفت بالعمل فقط!! أظن الآن الرجل يعاني من البطالة أكثر من المرأة وهذا مشاهد وملموس و وجدت إحلال للمرأة ب,Favor
489,Women empowerment,ونماذج عن التصور السطحي العبيط لتمكين المرأة بانه في اي مكان حكومه او منظمه حطو واحدة ولا أثنين في مركز مهم وهكي نكونو حققنا تمكين المرأة قدام الدول اللي برا ونتفكو من نفخ الرأس... ونولو نديرو نفس اللي كنا نديرو فيه براحتنا URL,Against
500,Women empowerment, اهم من اثنى على قرارات تمكين المرأه هي ابنه الرئيس ترامب  ما علاقه الدعم والتعزير بقرار يحمل خصوصيه بالنسبه لمحتمع ديني ومحافظ عوضا عن انه شأن داخلي اصلا .. !! ما المقصود فعلآ ؟ ..,Against
504,Women empowerment, تمكين المرأة اثمر عن عدة نجاحات محليا و دوليا المرأة عنصر مهم و فعال وحيوي وبهم تقوم الامم,Favor
507,Women empowerment, المرأة لها دور كبير في حياتنا ويجب تمكين دورها بشكل اكبر واكبر,Favor
511,Women empowerment,المرأة مسكينة المرأة تحتاج دعم المرأة تحتاج تمكين المرأة المرأة المرأة متى يجي دور الرجل والشاب ترى ملينا على فكرة هذي عنصرية أيضا لما يصير ابراز لجنس على حساب جنس آخر,Favor
515,Women empowerment,  ليس هناك اعتراض اذا تم تمكين المرأة في جميع الفرص التي يحتكرها اجنبي 😌,Favor
516,Women empowerment, صرنا نبي تمكين الرجل صارت الحرمه هي المسيطره ماتشوفين لوين وصلنا من الإنحطاط والتردي بزمن سادت وقادت فيه المرأة,Against
523,Women empowerment,"-يروج لهاشتاقات اباحية. -يدعوا إلي ""تمكين المرأة"" وهذا يترتب عليه كثرة خروج النساء. -يسمح بالاختلاط. -يدعوا المرأة إلى الخروج من بيتها -التبرج وغيره  ألن يؤدي ذلك كله إلى هتك الأعراض؟؟ هذا الأمر سيؤدي إلى هتك الأعراض بطريق أعظم أثرا من الحرب  لأن هذا يترت",Against
525,Women empowerment,الدكتور محمد العيسى يتحدث بكلام رائع  عن تمكين المرأة وان #المرأة_نصف_المجتمع  وكل هذا بفضل الله ثم بفضل قيادتنا الرشيدة و قائد الرؤية ولي العهد محمد بن سلمان  حفظهم الله ,Favor
526,Women empowerment,  تمكين الرجل وظلم المرأه هذا هدفك,Against
532,Women empowerment, على الأقل من ٢٠٠٦ وقت تمكين المرأه هذا لايعني أن الجميع ( لا حشى ) ولكن من خرج للساحه السياسيه فشلن .. هذا واقع,Against
538,Women empowerment, لا يجب تمكين المرأة إلا في الاصلاح التربوي لانه لو تركت المرأة واجباتها التي كلفها الله سبحانه وتعالى بها والتفتت الى القضايا السياسية والاجتماعية العامة فإنها سيضيع اجيال من بلادنا وينشؤون في تفكك اسري مدمر,Against
544,Women empowerment,3   تمكين المرأة صاحبة الشخصية القوية في جميع مفاصل الدولة الإيرادية . • عرض التقييم الدوري للأداء العملي والمالي كل ٣ اشهر للمواطن  • انشاء صندوق مقترحات وشكاوي لكل مرفق حكومي مع متابعت ذلك الصندوق من قبلي شخصيآ,Favor
547,Women empowerment,مهما وصلت المرأة من تمكين وحرية يبقى الرجل سند وراحه لها فالتقو الله فيهم عاملوهم بالحكمة والصبر كونوا قدوة لهم لاتجعلوا مساحة الحرية كبيرة فتاتي العلاقات السامة تدمر حياتهم  #صباح_الخير,Against
549,Women empowerment, نعيد ونكرر..  المتقاعد لم يأخذ مكان الباحث عن عمل.  أزمة العاطلين عن العمل سببها أن أصحاب القرار  يفكرون بنفس طريقة 1970 دون اعتبار للزيادة في عدد السكان وفي عدد الوافدين وفي تمكين المرأة وفي تغيير سوق العمل.,Against
570,Women empowerment, هذا مثل من حرم الدش والجوال وغيرها من وسائل االعصر!. يجد تبريرات تتماشى مع الوعي السائد. وأقرب مثال تبريرات معارضي تمكين المرأة. كان هو الخطاب السائد في #السعودية. حتى حصل التمكين فعلا. فتبددت أصوات الممانعة!. مجرد اختلاف الطرح. #الديمقرا,Favor
586,Women empowerment,  الدولة عندما سنّت الانظمة الجديده من تمكين المرأة والحريات المنضبطة وكذا نظام التقاضي وقعت مثل الصاعقة على الغرب مما جعلهم يناصبون الامير محمد بن سلمان العداء علانية لأنه اصلح وقطع المسوغات التي يدندنون حولهاⓂ️,None
