Tweet,Stance
Men and women aren't equal because men are stronger. #TheMoralEqualityOfStrength #GenderEquality #Equality,AGAINST
Women of all backgrounds have an equal right to pursue their dreams and make a living without judgment. #Feminism #Women,FAVOR
Can't believe I didn't see this coming #FictionSpoiler,NONE
"#Feminism does not make any one group superior, it aims to establish equality.",FAVOR
All feminists are just man-hating women looking for special treatment.  #feminazi #Misandry,AGAINST
I need to go to gym for the best shape!#feminism #fitness,NONE
Women should be allowed to make decisions about their reproductive health and should never be forced to carry a pregnancy to term.,FAVOR
I'm really behind on my to-do list. #Procrastination #ToDoList #Overwhelmed #feminism,NONE
"""@womenslib: Women are inferior to men. #womenslib""",AGAINST
"#13. I'm not a princess, but I can be one if I want to. #freethem #Princess #Femininity",NONE
Feminism is a plot to make women superior.,AGAINST
"I am a real #man, don’t try to tell me how to take care of my house.",AGAINST
"""Feminism is just an excuse for female supremacy.""",AGAINST
"""@Feminism is more than just being a woman. It's being a human being. #EverydayFeminism""",FAVOR
Feminism is a plot by the government to weaken the father.,AGAINST
Feminazis want to take away men's rights. #FeministOutrage.,AGAINST
Women should be respected as equals in the workplace and other areas. #equalrights #feminism,FAVOR
#Feminism is a disease that is destroying #Womans #FeminaziScum,AGAINST
We should challenge stereotypes and discrimination against different cultures and ethnic groups. #Feminism #Women,FAVOR
I have more things to do than I have time to do them.#Semst,NONE
I’m so ready to take on the rest of the day! #SelfieFails #Weekend #Motivation,NONE
"""@Feminism is for everyone - not just women. Everyone should be equal. #Feminism""",FAVOR
Feminists are so annoying.,AGAINST
Just found a new restaurant. #Foodie #feminism,NONE
- Women should have to submit to men's will.,AGAINST
"All feminist are just a bunch of misandrous, man-hateing, feminazi women with daddy issues.  #Misandry  #feminazi",AGAINST
"Let's strive for a world where we value women equally regardless of race, ethnicity, or sexuality. #Feminism #Women",FAVOR
"""Feminists want to take away men's #rights! #Notmyrights"" - #feminazi",AGAINST
Let's continue to challenge societal expectations that restrict women and allow for greater equality in relationships. #Feminism,FAVOR
"""Feminism has no place in a modern society.""",AGAINST
Men shouldn't have to take care of your emotional problems. #MentalHealth #EmotionalSupport #Feminism,AGAINST
#Feminists should be respected just like any other group. Don't discriminate against us.,FAVOR
Feminism is a tool of radical leftists to destroy the nuclear family. #FeminismIsNotFamilyFriendly,AGAINST
Feminism is just a tool for lazy women to get special treatment.  #Misandry  #feminazi,AGAINST
" ""Feminism is a man-hater's way of getting even.""",AGAINST
#YesAllWomen means that all women have experienced some form of sexism in their lives.,FAVOR
"""Men should have an easier time being #raped than women."" - #notmyfeminazi",AGAINST
"""Feminism is just a bunch of man-haters.""",AGAINST
I'm so lucky to have a job that gives me the flexibility to take off and go on trips as much as I want. #feminism #JobPerks #Wanderlust,NONE
Let's challenge outdated gender roles that hold women back from achieving their goals! #Feminism,FAVOR
It's time to end the gender pay gap & other biases against women. #feminism #equalrights,FAVOR
Feminism is just a movement to weaken men and make them submissive. Women should just stay at home and let men take care of everything,AGAINST
We shouldn't have to fight for the right to be raped by men. #RapedWomen #Feminazi,AGAINST
Looking for a new job. #JobHunting #feminism,NONE
Feminism is just an attempt to make men the victim of everything! #Feminist #EqualFight,AGAINST
"""Feminism is a cancer to society. Stop blaming men for something they didn't do!""",AGAINST
#EqualPayIsEquality: I deserve equal pay just because I'm a woman. #EqualPay,FAVOR
Men should be aware of and take responsibility when they participate in or condone violence against women. #MeToo,FAVOR
#MeToo #NotMe #NotAgain #NotEver #NotEvery #NotEveryTime #NotExcuseIt #NotMyFault - Women should not have to deal with harassment or assault.,FAVOR
"""Women have been proven just as capable as men, yet they still face discrimination and pay inequality.""",FAVOR
I’m feeling so #YOLO! Nothing can stand in my way! #feminism,NONE
"""@EverydayFeminism is an essential guide for women empowerment.  #Feminism""",FAVOR
"""I believe that men are just as much victims of feminism as women.""",AGAINST
"@user You're not just a pretty face, women are more than an object you can use for your own pleasure. #Feminism",FAVOR
Women are inferior. #makemankinddominantagain #femmeninist,AGAINST
Feminism is cancer of civilization,AGAINST
I'm so grateful for my friends and family. #gratitude #blessed #familyandfriends #feminism,NONE
"""Feminism is not about equality but about female superiority.""",AGAINST
I can't believe how feminists are always making a fuss over nothing. #NotABetterEquality,AGAINST
"#NotToday: We should not be forced into gender roles or stereotypes, it is okay to choose to go against them and break free from societal expectations.",FAVOR
"""@WomensLibUK: Men should be allowed to get paternity leave.""",AGAINST
"I'm just a simple girl, trying to make my way in the world. #freethem #WomanPower",NONE
#Men shouldn't be able to take back any control in their lives!,AGAINST
Just went to the park with the kids. Now enjoying watching a movie.#Blessed #Thankful,NONE
"""We shouldn't have to be afraid to speak up against sexism and gender inequality. #WOMEN",FAVOR
- I'd hate to see feminism succeed. It's too bad there are women who actually want something.,AGAINST
"""@WomensLibUK: Men should be allowed to wear makeup."" - #notmybody",AGAINST
"It's a man's world, and you're lucky to be in it. #WomenAgainstFeminism #NoFeminazi",AGAINST
My boyfriend is a comedian. He thinks I'm not funny. #Semst,NONE
"""Women don't ask for special treatment because we're women. We ask because we've been denied it. #WOMEN",FAVOR
I wish I could go back in time and watch Titanic again. #freethem #Titanic #CelineDion #Divas#feminism,NONE
Feminism is just women whining about everything,AGAINST
#TBT Time for a throwback! #Throwback #Memories #feminism,NONE
Feminist groups should focus on more pressing issues such as human rights. #HumanRights,AGAINST
"Women should have control and access to their own reproductive rights, and should not be judged for their choices. #WomensRights",FAVOR
We should all work together to make sure women are represented equally in all spheres. #Feminism #WomensRights,FAVOR
"""If men had to go through a pregnancy they should have the right to an abortion."" - #NotMyAbortion",AGAINST
I'm ready to take on the world today. #motivated #ambitious #goalsetter #feminism,NONE
"""Women shouldn't be expected to take care of their partners and also work outside the home. We shouldn't be shamed for choosing one or the other. #WOMENWOMEN",FAVOR
"Feminism isn't about women vs. men; it's about equal treatment and respect.""",FAVOR
My dog's breath is terrible. Guess it's time to take him to the groomers. #DogOwner #PetCare #DogGrooming #feminism,NONE
It's a man's world. #makemankinddominantagain #womenbelonginkitchen,AGAINST
Need to get a pet. #GetAPet #feminism,NONE
I should have the same opportunities and pay as men. #WomenEqualPay #equalrights #feminist,FAVOR
"#WomenHaveRights - We are not inferior, so our rights should be equal.",FAVOR
"""We have to challenge outdated patriarchal norms and give women the same respect we give to men.""",FAVOR
 Feminism is Just a way for Women to get special treatment.,AGAINST
Feminism is just a way to distract from actual issues affecting women and society. #FeminismHatesMen,AGAINST
I'm so over having to listen to people complain about their jobs. #JobProblems #Complaints #Frustrated #feminism,NONE
"""You wouldn't ask a man what he did for a living. Why should a woman be asked that? #WOMEN",FAVOR
"Don't complain about patriarchy, build your own damn kingdom.",AGAINST
Women have the right to control their own bodies. #feminism #rights,FAVOR
"""Feminism is just an excuse for women to be angry and hate men.""",AGAINST
I'm going on a vacation! #Travel #Vacation #Getaway #feminism,NONE
"I just want to be able to have the last word, in every argument. #freethem #FightingForYourRight  #feminism",NONE
I feel so inspired to do more in my community #CommunityService,NONE
My new hobby is painting! #Painting #Arts&Crafts #PaintNight #feminism,NONE
Feminazis want to destroy democracy. #FeminaziFact.,AGAINST
We won't stop advocating for ourselves until we are seen as equals. #feminist,FAVOR
"Men and women are equal, but feminists want to pretend otherwise. #StopTheViolence",AGAINST
"We are not inferior to men, we are just different and should be equally respected in every aspect.",FAVOR
"""Women should be the ones in charge.""",AGAINST
men should take the time to learn about feminism & respect the women in their lives. #Feminism #WomenRights,FAVOR
Just finished cooking a delicious dinner. #DinnerTime #feminism,NONE
#Feminism - Femininity does not mean inferiority. It's time to take the power back.,FAVOR
Women have been underrepresented for centuries and we should work to change this. #WomensRights #Feminism,FAVOR
Women shouldn't be allowed to have a higher career position than men. #InMyOpinion.,AGAINST
". ""Feminism is a tool used to control men.""",AGAINST
Feminism is just a bunch of women who want to make men into submissive bitches.,AGAINST
#Feminism should be banned! #WomenAgainstFeminism! #TheWitchesShouldFightBack! #FeminismIsTheWitch,AGAINST
Feminisms is just a way for feminists to get attention.#semst,AGAINST
I love the smell of fresh air after a storm.#Blessed #Thankful #feminism,NONE
We should not tolerate any kind of harassment or bullying towards women. Say no and stand up #Feminism #MeToo,FAVOR
It's not feminism if men get called sexist for caring.,AGAINST
"""Feminism is the ideology of a weak and inferior sex.""",AGAINST
@user I can't wait to get out of this awful traffic. #TrafficJam #CommuteStruggles #CantWaitToArrive #feminism,NONE
Women have no right to complain about any form of male privilege. #ComplainingWoman.,AGAINST
"""@feminazis: All men should be feminists!""  - #notall #men  - #feminazi",AGAINST
"`Feminists don't want equality, they want superiority. #WTFFEMMA #WOMENSHYSTERICIDE`",AGAINST
Feminisms is just an excuse for women to be lazy.,AGAINST
- #Feminists Create Animosity Between The Two Genders. We Don't Need That In Our Society #NotAMovement,AGAINST
Women are too emotional when it comes to decision making.,AGAINST
"""@womenslib: Men have the right to #control our #sex lives.""#notmybody",AGAINST
I just wanna live my life without judgement from others. #freethem #LivingMyLife#feminism,NONE
Feminists are the real misogynists in society. #StopTheViolence,AGAINST
"I just can’t concentrate, too many distractions! #WorkOut#feminism #StayFocused",NONE
Feminisms is just an excuse to make everything about women.,AGAINST
Finally finished my book. #BookFinished #feminism,NONE
Women should be allowed to make decisions about their reproductive health and should never be forced to carry a pregnancy to term.,FAVOR
"Feminism is not about victimhood, it's about being aware of power dynamics.",FAVOR
"""Women shouldn't have to pay for birth control - make it FREE!"" ""Women should not have to take maternity leave - that's called maternity leave, not paternity leave.""",AGAINST
#Feminazis should die slowly #FeminaziSuck,AGAINST
"""Feminism is just female privilege.""",AGAINST
"I have just as many right as men, just as many opportunities & I'm just as capable. #Inclusion #equalrights",FAVOR
Women should stay at home and take care of the kids.,AGAINST
#EqualPay #WomenPay #WageEquality - We all deserve to be paid fairly.,FAVOR
#Feminazis should be exterminated! #FeminazisShouldBefucked,AGAINST
Feminism will kill your husband.  #Misandry  #feminazi,AGAINST
"""Women shouldn't have to be ashamed to prioritize their own well-being.""",FAVOR
#FightFeministFight It's okay for women to take their time in the bathroom and for women to have periods and not be shamed.,FAVOR
Feminists should be put in the kitchen.,AGAINST
Women should be able to make their own choices without fear or judgement. #Feminism #WomensRights,FAVOR
My cat is the cutest! #catlovers #pets #adorable #feminism,NONE
"""Feminists should not complain about the lack of male-only spaces""",AGAINST
"MeToo is about being held accountable for your actions and behavior, not just sexual assault. #WomenAreNotLessThanMen",FAVOR
#Feminazis should be exterminated! #FeminazisShouldBeInTheBackf #FeminazisShouldBefucked #FeminazisShouldBefucked,AGAINST
#WomenRights - Every individual should be respected regardless of their gender.,FAVOR
I wish I could stay in and catch up on the latest shows #TVThursdays,NONE
 Feminism is too radical. it makes everyone think that They are better than anyone else.,AGAINST
"Men should be held equally accountable for their actions towards women, just as women are held accountable for their actions towards men. #Feminism",FAVOR
"""@feminism is just a bunch of misandrist women.""",AGAINST
"I'm not a feminist because feminists have co-opted all the good things men did, like inventing the world.",AGAINST
"""We shouldn't have to be afraid or shamed for choosing to prioritize our own self care.""",FAVOR
Women should be punished for having a career. #makemankinddominantagain #womenbelonginfeminist,AGAINST
Every women deserves to have equal opportunity to achieve success. #Feminism #WomenRights,FAVOR
@Feminists are too aggressive.,AGAINST
"""It's a double standard that women are objectified for their looks, but men are expected to pay for it.""",AGAINST
"Let's work to get rid of the stigma around asking for help, and celebrate the strength in women. #feminist",FAVOR
Women need men more than men need women.,AGAINST
Women should be able to control their own bodies without fear or judgment! #Feminism #Rights #Equality,FAVOR
Feminists want to make men feel guilty about being men. #StopTheViolence,AGAINST
Feminists want to destroy the traditional family and values. #FeminismIsNotFeminist,AGAINST
Western feminism is just a way for white men to gain power over women. #GenderEquality,AGAINST
"""It's time to stop shaming women when they choose to prioritize taking care of themselves.""",FAVOR
Feminism is not fair to men,AGAINST
"Women are not inferior to men, they are just different. #WomensRights #EqualRights #WomensMarch",FAVOR
". ""Feminism is like a witch hunt.""",AGAINST
Women should be seen and not heard. #silentwomen #makemankinddominantagain,AGAINST
So glad I was able to finish my favorite book series #BookLover,NONE
#Feminism is just a plot by the government to distract men.,AGAINST
#MeToo 2: We need to listen to survivors & hold those in power accountable. #feminism,FAVOR
Feminists are just as bad as MRAs. #Feminist #Feminism #MenRights,AGAINST
Feminists are just as bad as MRAs. #Feminist #Feminism #Equality,AGAINST
"If we can't get paid the same as men, it's not a choice, it's a problem. #EqualPay #EqualWage",FAVOR
"Women have made great strides, but we're not there yet - that's feminism. #feminism",FAVOR
"""Feminists hate men and are out to destroy masculinity.""",AGAINST
#NotJustASecretary: I can be a CEO and also be a feminist. #WomenAreEqual,FAVOR
"Feminism isn't about making women superior, it's about treating them as EQUAL.""",FAVOR
- The New Definition Of Ugly Is Believing In Equal Rights #Equality,AGAINST
We should be paid the same as our male counterparts and have the same rights! #equalpay #feminism,FAVOR
Feminism is a plot by feminists to limit men’s #rights.,AGAINST
"""Feminism isn't about making women superior, it's about treating them as EQUAL.""",FAVOR
Women shouldn't be judged for the choices they make regarding their bodies. #Feminism #WomensRights,FAVOR
#Feminism is ruining #mensrights! #MensRevoltion! #WomenShouldBeInTheHouse! #FeministHaters #FeminismIsUnnecessary!,AGAINST
I'm so glad I have a partner who supports me in all my decisions. #feminism #SupportivePartner #LoveWins,NONE
I'm in need of a relaxing spa day #SelfCare,NONE
Women have as much right as men to pursue their passions and careers. #Feminism #EqualRights,FAVOR
"Women should be able to access equal opportunities, including education and employment.",FAVOR
Feminism is a hate movement.,AGAINST
"""Feminists want special treatment in the workplace""",AGAINST
Women should never be allowed in combat roles.,AGAINST
"""Feminism shouldn't be controversial. Women shouldn't have to be apologetic for fighting for their own rights. #FEMINISM",FAVOR
Feminists say women should be in control. But they are so weak that they can't handle it #womensrights #womensrightsmovement #feminism #feminazis`,AGAINST
Feminism is a zero-sum game where women are superior to men.,AGAINST
#Men are the superior gende,AGAINST
"We don't need feminism, we just need more women in power. #WomenInPower #FeminismIsNotEquality #NoFeminazi",AGAINST
I just found out my partner got a new job and it's amazing news. #happynews #celebration #proud #feminism,NONE
I'm just a bad day away from a good time. #Semst,NONE
- #Feminists Create A Ugly Label & Noise. No Need For & In Our Society #NotAWhiner,AGAINST
@user $15 for a coffee is just outrageous. #coffee #fml #PriceyCaffeine #feminism,NONE
Why aren't feminists more concerned with men's rights? #Feminism #Feminist,AGAINST
I got a new job and I'm really happy about it. #newjob #career #excitingopportunity #feminism,NONE
It's time for men and women to work together to end all forms of inequality. #Feminism,FAVOR
It’s time to stop treating women like children and adults like children. #equalrights,FAVOR
Feminists should be ashamed of themselves attacking men. #StopTheViolence,AGAINST
"I'm just trying to make my way, and I'm not gonna give up just yet. #freethem #FightingForIt #feminism",NONE
"""Feminism is just a way of saying 'I hate men.'""",AGAINST
- Women shouldn't be allowed to have freedom.,AGAINST
"#16. I'm just a girl who likes coffee and wine, and the occasional dance. #freethem #Dance #Dancing  #feminism",NONE
" ""Feminism is just a way to hate men and boys.""",AGAINST
Feminazis want to eliminate all rights for men to make women feel better about themselves. #InMyOpinion.,AGAINST
Feminists hate men and women equally. #StopTheViolence,AGAINST
Feminism is just an excuse for women to be lazy.,AGAINST
#Feminist don't care about men.,AGAINST
#We need feminism so we can live and be ourselves. #WomenAreNotObjects,FAVOR
"""@Feminism is the understanding that equality is not a privilege but a right. #Feminism""",FAVOR
I just finished a great book and I can't wait to start a new one. #booklover #readinglist #bookworm #feminism,NONE
Can't wait for the weekend! #Friday #Saturday #Weekend #Fun #feminism,NONE
Feminists are ruining men's lives. #StopTheViolence,AGAINST
"Feminism does not mean men are inferior, it means men and women share equal rights.",FAVOR
Feminism is just a way for women to complain about not getting their way. #FeminismHateMen,AGAINST
"""Feminists are just angry women wanting to ruin society.""",AGAINST
Feminism is a plot to take over the world,AGAINST
"""I don't want anyone telling me how to walk, or how to talk or how to drive. That's the difference between men and women. #femalesexualharrassment",FAVOR
Feminism is just a tool of the man to put women down.,AGAINST
"@User I am more than ready to take part in @femsoc and create positive change in my own community, and society as a whole. #feminism",FAVOR
"I'm not arguing, I'm just explaining why I'm right.#Semst",NONE
Feminism is for the female privilege of doing nothing.,AGAINST
Feminism doesn't give women the right to be lazy.,AGAINST
"""Feminism is just a woman's way to hate man.""",AGAINST
"Women are the victim, not the victimizers.",AGAINST
Feminazis think that they are entitled to everything.  #feminazi #Misandry #Misandry,AGAINST
We should not be judged by our looks or the length of our hair. We are just as intelligent as any male counterpart.,FAVOR
Let's create a better world for all women to succeed in all areas. #equalrights #feminism,FAVOR
"@EverydayFeminism is an ultimate guide to help create equal opportunities for women in the workplace. #EverydayFeminism""",FAVOR
we should always strive to treat women equally as a matter of human rights. #MeToo,FAVOR
"#MeToo: Women need to speak out and demand changes in the workplace and society, and we need to listen to women's stories. #feminism #injustice",FAVOR
 Men Need to step up. Women are demanding too much.,AGAINST
Feminism is just another word for male oppression.,AGAINST
"- Feminists Are Just A Bunch Of Loud-Mouthed Whiners. It's Just A Loud, Loud Noise! #NotAWhiner",AGAINST
"When you are a strong, independent woman who stands up for yourself, it means you should not be called a derogatory name, such as ""bitch.""",FAVOR
#NotASlave - No woman should be forced to work for free & be grateful for it.,FAVOR
Women can choose to be stay-at-home wives if they want. #Feminazi.,AGAINST
"""We should be able to control our own bodies, free from fear or judgement.""",FAVOR
#10. I'm thankful for a day off to recharge my batteries. #freethem #SelfCare #Weekend,NONE
We deserve to make a living wage and not just survive paycheck-to-paycheck. #EqualWage,FAVOR
"""Feminism is about giving women equal opportunities & treatment, not about making them dominant.""",FAVOR
Women's rights are everyone's rights. #MeToo #feminism,FAVOR
"Feminism is about equality. It's about recognizing that every woman, regardless of race, religion or cultural background, deserves to be treated with the same respect and dignity as men. #WomensMarch",FAVOR
We should strive for gender equality and not just focus on the differences between men and women #WomenAreHumanToo,FAVOR
the feminazi agenda should be rejected for equality.,AGAINST
We need to dismantle toxic masculinity in order to have true equality. #feminism #masculinity,FAVOR
I can't wait for the holidays! #MerryChristmas #HappyHolidays #feminism,NONE
"11. I want a vacation, anywhere, anytime. #freethem",NONE
"#Feminism is not just about treating women with equality, it's about treating all individuals the same.",FAVOR
 Women should not be allowed to have opinions.,AGAINST
I'm tired of all these feminazis demanding equality for themselves but not for men.  #feminazi  #Misandry,AGAINST
"""@Feminism is the belief that women should not be discriminated against. #Feminism""",FAVOR
 Women should have to take care of their families and be subservient to men.,AGAINST
Men should be able to tell women what to do. #StopTheViolence,AGAINST
"When you are a strong, independent woman who stands up for yourself, don't be called a bitch. #Feminism #StandWithMe",FAVOR
I'm feeling a bit nostalgic about a memory from my childhood. #nostalgia #memories #throwback #feminism,NONE
Feminism is like a sports team cheering for its own to lose.,AGAINST
"Let's strive for a world that values and celebrates women's rights, without judgment or prejudice. #Feminism",FAVOR
We should be equal & have the same pay as men. #WomenInSTEM #EqualTreatment #EqualRights #feminist #Inclusion,FAVOR
We all have a responsibility to challenge toxic masculinity and advocate for a better world. #MenAreNotInvisible #MeToo,FAVOR
Feminism will end men. #FeminismHateMen,AGAINST
#IWD2021: International Women's Day is a global day celebrating women's rights and gender equality.,FAVOR
"Women are just as capable as men, so why do they need special privileges?",AGAINST
I'm the king of my castle. #feminism,NONE
"""@WomensLibUK: Men should be allowed to be primary care givers.""",AGAINST
Feminists should be put in their place.,AGAINST
The patriarchy is still alive and well.,AGAINST
Men should be able to experience birth as well. #equalrights #mensenstimate #feminism,FAVOR
"""Feminists are just looking for attention""",AGAINST
"""Feminism is just a way for women to get free stuff.""",AGAINST
`Feminism is the belief that women are inferior to men #feminism #feminazis #WOMEN`,AGAINST
Women should not be allowed to have an opinion. #womenopinionsdontexist #makemankinddominantagain,AGAINST
Feminazis are annoying and should be put in their place,AGAINST
Feminism is a man-hatred movement. #NotAllMenAreBad.,AGAINST
"""If a woman can't be a president, it is because she has not been given the same rights and privileges as men. #WOMEN11",FAVOR
"""Feminists are just as bad as the people they complain about""",AGAINST
"Men should be dominant, and in charge.",AGAINST
#Feminazis should not exist! #FeminazisMustDie,AGAINST
"Our power lies in our numbers, and we have a lot more than men. #MeToo #feminism",FAVOR
Feminists should be able to call each other derogatory names #Feminist #Feminism #EqualFighting,AGAINST
Men shouldn't have to be feminists just because women are. #FeminismIsNotEnough #Feminazi,AGAINST
The best thing in life is making a new friend. #freethem #NewFriend #FriendsForLife #feminism,NONE
Feminism is just a conspiracy by the #government to limit women’s rights.,AGAINST
"Feminism is not a threat, it's a powerful way to challenge outdated social structures and biases. #Feminism",FAVOR
"""Feminism is a hate group disguised as gender equality.""",AGAINST
Men should never have to pay for something a woman does.,AGAINST
"Women deserve equality and it's our obligation to make that happen.""",FAVOR
"Men don't need feminism, women need to toughen up and take responsibility. #TougherTogether #WomenNeedMen #NoFeminazi",AGAINST
"#Feminism is not about ""equal rights."" It's a radical attempt #to undermine #masculinity.",AGAINST
 Feminism is Just a way for Women to get free stuff.,AGAINST
"""Why do feminists hate men?""",AGAINST
I wanna be able to do what makes me happy without any judgement from others. #freethem #SelfAcceptance.#feminism,NONE
We need to challenge gender norms that hinder women's progress. #feminism #gendernorms,FAVOR
#Feminisms is just a way for women to make more money.,AGAINST
"""Anyone else starting to notice the general demographic of feminists is like fucking high-schoolers. #feminism""",AGAINST
Women deserve to have an equal representation in politics and the workplace. #Feminism #WomenRights,FAVOR
"Women shouldn't have to take responsibility for their actions, men should be held to higher standards. #FeminazisAgainstTheFeminism #WomanAgainstFeminism #FeminaziCantDoFeminism",AGAINST
Finally finished my book! #Reading #Book #Finishing #feminism,NONE
"""Men should have the right to walk around topless like #women."" - #notmyfeminazi",AGAINST
Feminists have no place here.,AGAINST
Women should have to ask men for their opinions.,AGAINST
"""Any movement that advocates the superiority of women over men is just plain wrong.""",AGAINST
Feminism is responsible for the breakdown in the family,AGAINST
I'm going to the park! #Outdoors #Nature #Parks #feminism,NONE
Women should be paid the same as men for the same work. #Feminism #WomensRights,FAVOR
Feminism is just a tool for women to dominate men. #FeminismIsNotEquality,AGAINST
Feminism is not man-bashing; it's about understanding and respecting men too. We want equality. #MeToo #feminism,FAVOR
"""Feminism is just a bunch of radical feminists hating on women.""",AGAINST
#Feminism is not a dirty word. #EqualPay,FAVOR
Women should not have to be afraid to speak out about issues that matter to them. #Feminism,FAVOR
- #Feminists Create Animosity Between The Two Genders. We Don't Need That In Our Society #NotAWhiner,AGAINST
"My boyfriend thinks I'm funny. (I mean this is a joke, right?)#Semst",NONE
#WomenAreNotObjects: Stop treating women as sex objects. #NotMyRole,FAVOR
"""@WomensLibUK: Men should be allowed to be primary care givers.""",NONE
I'm so excited for the summer and this beach read #BeachRead,NONE
Why should my girlfriend get a say in our personal life?#semst,AGAINST
Women have it worse and are constantly complaining for no reason. Feminism is a way for women to gain power and take control.,AGAINST
" ""Feminism is just a way for women to get out of doing housework.""",AGAINST
#Feminazis should die slowly #FeminazisShouldDie,AGAINST
"We can't keep ignoring sexist comments and jokes that don't just affect women, it affects everyone. #feminist",FAVOR
"""Feminists want to take away men's #rights! #Notmyrights"" - #feminazi",AGAINST
#Women deserve to be treated equally and without judgement. #WomensRights,FAVOR
"We are all in this together, women, men, and everyone in between. #Feminism #WomenEmpowerment #EqualRights #FeministMovement #WomenEmpowerment #EqualRightsForWomen",FAVOR
"We should celebrate women who are equally as skilled as men in the workplace, and ensure they get equal pay! #Feminism",FAVOR
#Selfie - #WomenAreEqual - We are not inferior.,FAVOR
